category,top_keys
政治,"[('外交部', 14), ('戰機', 11), ('民眾', 7), ('物資', 7), ('高度', 7), ('飛官', 7), ('空軍', 6), ('烏克蘭', 5), ('志工', 5), ('幻象', 5), ('吳釗燮', 4), ('人士', 4), ('物品', 4), ('姿態', 4), ('座椅', 4), ('現場', 3), ('人員', 3), ('時間', 3), ('飛行員', 3), ('限制', 3), ('民間', 2), ('清單', 2), ('人道', 2), ('時機點', 2), ('決心', 2), ('動作', 2), ('2000', 2), ('中校', 2), ('司令部', 2), ('情況', 2), ('彈射', 2), ('F-5', 2), ('海面', 2), ('許邁德', 2), ('速度', 2), ('愛心', 1), ('外交部長', 1), ('新聞稿', 1), ('難民', 1), ('包裹', 1), ('品項', 1), ('口罩', 1), ('毛毯', 1), ('女性', 1), ('衛生', 1), ('用品', 1), ('尿片', 1), ('餅乾', 1), ('活動', 1), ('地下', 1), ('停車場', 1), ('慈濟', 1), ('組織', 1), ('善心', 1), ('義工', 1), ('照片', 1), ('家鄉', 1), ('情勢', 1), ('網紅佳娜', 1), ('網站', 1), ('衣物', 1), ('有效期', 1), ('困擾', 1), ('藥品', 1), ('各界', 1), ('精神', 1), ('國際', 1), ('援助', 1), ('敬意', 1), ('原廠', 1), ('新竹', 1), ('基地', 1), ('機號', 1), ('台東', 1), ('外海', 1), ('黃重凱', 1), ('醫院', 1), ('大礙', 1), ('軍方', 1), ('機械', 1), ('肇因', 1), ('機體', 1), ('督察長', 1), ('柳惠千', 1), ('少將', 1), ('記者會', 1), ('外傷', 1), ('幻象機', 1), ('建議', 1), ('中央社', 1), ('記者', 1), ('狀態', 1), ('主因', 1), ('時機', 1), ('朱冠甍', 1), ('座艙罩', 1), ('身體', 1), ('隔框', 1), ('機身', 1), ('過程', 1), ('拉力', 1), ('飛安', 1), ('專家', 1), ('護身符', 1), ('青年日報', 1), ('英國', 1), ('馬丁貝克', 1), ('產品', 1), ('F-16', 1), ('美國', 1), ('概念', 1), ('存活率', 1), ('性能', 1), ('時速', 1), ('火箭', 1), ('動力', 1), ('系統', 1), ('角度', 1), ('下降率', 1)]"
科技,"[('印度', 13), ('中心', 9), ('備忘錄', 6), ('科技', 5), ('台灣', 4), ('技術', 4), ('海洋', 4), ('理工', 4), ('學院', 4), ('宏達電', 3), ('沉浸式', 3), ('校區', 3), ('智能', 3), ('網路', 3), ('物理', 3), ('系統', 3), ('科技部', 3), ('機構', 3), ('科學', 3), ('科技組', 3), ('宇宙', 2), ('遊戲', 2), ('旗下', 2), ('內容', 2), ('品牌', 2), ('作品', 2), ('單元', 2), ('眼鏡', 2), ('應用', 2), ('古瓦哈蒂', 2), ('人員', 2), ('課程', 2), ('國際', 2), ('重點', 2), ('王金燦', 2), ('層級', 2), ('概念股', 1), ('全球', 1), ('展會', 1), ('實境', 1), ('娛樂', 1), ('人機', 1), ('主題', 1), ('新聞稿', 1), ('旗下VR', 1), ('領域', 1), ('年長者', 1), ('長期', 1), ('家庭', 1), ('成員', 1), ('奧斯汀', 1), ('市區', 1), ('行程', 1), ('乘客', 1), ('汽車', 1), ('路線', 1), ('長度', 1), ('道路', 1), ('型態', 1), ('風格', 1), ('所在', 1), ('位置', 1), ('音樂', 1), ('演唱會', 1), ('封測版', 1), ('玫瑰', 1), ('技藝', 1), ('攝影', 1), ('觀眾', 1), ('故事', 1), ('角色', 1), ('情節', 1), ('場景', 1), ('短期', 1), ('研討會', 1), ('冠狀病毒', 1), ('疾病', 1), ('疫情', 1), ('主任', 1), ('王兆璋', 1), ('分校', 1), ('校長', 1), ('希塔拉姆', 1), ('郵寄', 1), ('異地', 1), ('轄下', 1), ('國家', 1), ('實驗', 1), ('研究院', 1), ('會議', 1), ('活動', 1), ('教育', 1), ('文化', 1), ('橋梁', 1), ('中華民國', 1), ('代表處', 1), ('線上', 1), ('設備', 1), ('議題', 1), ('意見', 1), ('組長', 1), ('中央社', 1), ('新台幣', 1), ('大學', 1), ('馬德拉斯', 1), ('感測器', 1), ('聯網', 1), ('國研院', 1), ('國網', 1), ('堪坡', 1), ('資安', 1), ('氣象', 1), ('地震', 1), ('災防', 1), ('地球', 1), ('部會', 1), ('效益', 1)]"
運動,"[('部落', 18), ('陳將双', 13), ('女孩', 12), ('樂天', 6), ('籃球', 6), ('國小', 6), ('高中', 5), ('冠軍戰', 5), ('隊長', 4), ('粉絲', 4), ('練習生', 4), ('冠軍', 4), ('籃籃', 3), ('球場', 3), ('官方', 3), ('俱樂部', 3), ('球迷', 3), ('榮耀', 3), ('高中生', 3), ('稱號', 3), ('演藝圈', 2), ('媒體', 2), ('舞蹈', 2), ('球團', 2), ('岱縈', 2), ('筠熹', 2), ('工作', 2), ('好友', 2), ('成果', 2), ('新竹市', 2), ('家族', 2), ('深山', 2), ('隊史', 2), ('風氣', 2), ('生活', 2), ('國中', 2), ('關鍵', 2), ('學年度', 2), ('身手', 2), ('中職', 1), ('桃猿隊', 1), ('啦啦隊', 1), ('人氣', 1), ('表現', 1), ('春訓', 1), ('見面會', 1), ('成員', 1), ('總監', 1), ('主持人', 1), ('團長', 1), ('軍容', 1), ('領隊', 1), ('浦韋青', 1), ('紅包', 1), ('主題趴', 1), ('活動', 1), ('魅力', 1), ('眼睛', 1), ('副隊長', 1), ('胡瓜', 1), ('會員', 1), ('節目', 1), ('林襄', 1), ('學姊', 1), ('社群', 1), ('時間', 1), ('自信', 1), ('行列', 1), ('霖霖', 1), ('伊婷', 1), ('詩媛', 1), ('十元', 1), ('佳琳', 1), ('雅涵', 1), ('婉卉', 1), ('訓練', 1), ('嘉義', 1), ('棒球場', 1), ('記者會', 1), ('結果', 1), ('台中市', 1), ('和平區', 1), ('山谷', 1), ('盆地', 1), ('高山', 1), ('知名度', 1), ('泰雅族', 1), ('小姑娘', 1), ('國民', 1), ('小學', 1), ('籃隊', 1), ('灰姑娘', 1), ('傳奇', 1), ('錦標賽', 1), ('小六女乙組', 1), ('校史', 1), ('歷史性', 1), ('後衛', 1), ('勇奪', 1), ('聯賽', 1), ('共同點', 1), ('記憶', 1), ('居民', 1), ('老一輩', 1), ('父親', 1), ('美國', 1), ('職籃', 1), ('中央社', 1), ('記者', 1), ('4年級', 1), ('台中', 1), ('名校', 1), ('大智', 1), ('都市', 1), ('環境', 1), ('決定', 1), ('台北', 1), ('金華', 1), ('冠狀', 1), ('病毒', 1), ('疾病', 1), ('疫情', 1), ('家庭', 1), ('因素', 1), ('輸贏', 1), ('日子', 1), ('學校', 1), ('甲蟲', 1), ('期間', 1), ('心態', 1), ('球風', 1), ('對抗性', 1), ('時刻', 1), ('心臟', 1), ('特質', 1), ('預賽', 1), ('首秀', 1), ('時候', 1), ('階段', 1), ('勁旅', 1), ('南山', 1), ('首冠', 1), ('夢想', 1), ('殊榮', 1), ('頭銜', 1), ('壓力', 1), ('助力', 1), ('心目中', 1), ('影響', 1), ('資源', 1), ('社會', 1)]"
證卷,"[('台股', 9), ('市場', 8), ('陽明', 5), ('法人', 5), ('現金', 4), ('股利', 4), ('俄烏', 4), ('歷史', 4), ('聯準會', 4), ('海運', 3), ('殖利率', 3), ('投信', 3), ('全球', 3), ('股市', 3), ('基本面', 3), ('企業', 3), ('供應商', 3), ('低點', 3), ('收盤價', 2), ('股價', 2), ('漲幅', 2), ('外資', 2), ('自營商', 2), ('長榮', 2), ('機會', 2), ('指數', 2), ('空間', 2), ('本益比', 2), ('評價', 2), ('吸引力', 2), ('金融', 2), ('戰爭', 2), ('影響', 2), ('走勢', 2), ('基金', 2), ('經理人', 2), ('葉獻文', 2), ('會議', 2), ('氖氣', 2), ('策略', 2), ('台灣', 2), ('金額', 2), ('新高', 2), ('林耕億', 2), ('董事會', 1), ('窘境', 1), ('2021', 1), ('盈餘', 1), ('題材', 1), ('說明會', 1), ('終場', 1), ('戰火', 1), ('短線', 1), ('航運', 1), ('年線', 1), ('成交值', 1), ('元大', 1), ('經驗', 1), ('短期', 1), ('情緒面', 1), ('衝擊', 1), ('長期', 1), ('獲利', 1), ('股息', 1), ('保德信', 1), ('重點', 1), ('美國', 1), ('委員會', 1), ('結果', 1), ('幅度', 1), ('情勢', 1), ('通膨', 1), ('經濟', 1), ('動向', 1), ('神經', 1), ('步調', 1), ('預期', 1), ('氣勢', 1), ('烏克蘭', 1), ('晶片', 1), ('製程', 1), ('廠商', 1), ('庫存', 1), ('疑慮', 1), ('財政部', 1), ('動能', 1), ('國泰', 1), ('地緣', 1), ('政治', 1), ('風險', 1), ('內資', 1), ('官股', 1), ('國際', 1), ('強勢', 1)]"
產經,"[('總經理', 9), ('國票金', 8), ('聯強', 5), ('杜書全', 5), ('資訊', 5), ('國際', 4), ('戰爭', 4), ('供應鏈', 4), ('需求', 4), ('蘇松輝', 4), ('產品', 3), ('新高', 3), ('盈餘', 3), ('董事會', 3), ('票券', 3), ('法人', 2), ('市場', 2), ('因素', 2), ('百分比', 2), ('產品線', 2), ('營收', 2), ('新台幣', 2), ('歷史', 2), ('子公司', 2), ('資格', 2), ('金控', 2), ('董事長', 2), ('銀行', 2), ('股利', 2), ('3C', 1), ('通路商', 1), ('說明會', 1), ('集團', 1), ('副總裁', 1), ('風險', 1), ('個人電腦', 1), ('電腦', 1), ('個位數', 1), ('通訊', 1), ('元件', 1), ('位數', 1), ('年度', 1), ('獲利', 1), ('淨利', 1), ('年增', 1), ('配息', 1), ('當地', 1), ('業務', 1), ('經濟', 1), ('半導體', 1), ('氣體', 1), ('產業', 1), ('零組件', 1), ('問題', 1), ('影響', 1), ('業界', 1), ('電競', 1), ('筆電', 1), ('空間', 1), ('訊息', 1), ('金管會', 1), ('國票', 1), ('丁予嘉', 1), ('魏啟林', 1), ('期間', 1), ('會議', 1), ('董事', 1), ('人選', 1), ('程序', 1), ('金融', 1), ('委員會', 1), ('生效日', 1), ('農業', 1), ('金庫', 1), ('京城', 1), ('商業', 1), ('任內', 1), ('京城銀', 1), ('組織', 1), ('任務', 1), ('現金', 1), ('股票', 1)]"
娛樂,"[('納豆', 13), ('林暉閔', 8), ('黃新皓', 6), ('基因', 3), ('演員', 3), ('郭宇宸', 3), ('畫面', 3), ('白色', 3), ('經紀人', 3), ('記者會', 2), ('海外', 2), ('導演', 2), ('感覺', 2), ('影集', 2), ('平台', 2), ('藝人', 2), ('女友', 2), ('依依', 2), ('戶外', 2), ('照片', 2), ('醫院', 2), ('神之', 1), ('死對頭', 1), ('情侶', 1), ('青梅竹馬', 1), ('朋友', 1), ('主軸', 1), ('故事', 1), ('內容', 1), ('友情', 1), ('親情', 1), ('愛情', 1), ('年輕人', 1), ('青春', 1), ('熱血', 1), ('林煒傑', 1), ('李見騰', 1), ('黃云歆', 1), ('葉泓毅', 1), ('現場', 1), ('趣聞', 1), ('感情', 1), ('原因', 1), ('郝心翔', 1), ('伴侶', 1), ('作品', 1), ('神之鄉', 1), ('角色', 1), ('印象', 1), ('片場', 1), ('關係', 1), ('劇組', 1), ('吻戲', 1), ('片頭曲', 1), ('黃氏', 1), ('兄弟', 1), ('極限', 1), ('片尾曲', 1), ('選秀', 1), ('節目', 1), ('聲林', 1), ('總冠軍', 1), ('柏霖', 1), ('蝴蝶', 1), ('愛奇藝', 1), ('國際版', 1), ('台灣', 1), ('英國', 1), ('法國', 1), ('德國', 1), ('日本', 1), ('美國', 1), ('加拿大', 1), ('消息', 1), ('林郁智', 1), ('身體', 1), ('症狀', 1), ('工作', 1), ('單位', 1), ('社群', 1), ('合照', 1), ('平頭', 1), ('吊帶褲', 1), ('老搭檔', 1), ('阿Ken', 1), ('林暐恆', 1), ('禮拜', 1), ('小S', 1), ('徐熙娣', 1), ('黃路梓茵', 1), ('陳嘉樺', 1), ('彭佳慧', 1), ('藍心湄', 1), ('小甜甜', 1), ('張可昀', 1), ('星友', 1), ('媒體', 1), ('舅舅', 1), ('新北', 1), ('市長', 1), ('侯友宜', 1), ('中央社', 1), ('記者', 1)]"
生活,"[('疫情', 8), ('陳時中', 7), ('檢疫期', 3), ('旅館', 3), ('號碼', 3), ('獎金', 3), ('中央', 2), ('中心', 2), ('指揮官', 2), ('程度', 2), ('同業', 2), ('公會', 2), ('天數', 2), ('業者', 2), ('國家', 2), ('正彩', 2), ('台北市', 1), ('商業', 1), ('會員', 1), ('大會', 1), ('晚宴', 1), ('媒體', 1), ('議題', 1), ('成本', 1), ('冠狀', 1), ('病毒', 1), ('疾病', 1), ('時候', 1), ('挑戰', 1), ('行程', 1), ('效益', 1), ('國內外', 1), ('現況', 1), ('商務', 1), ('時間', 1), ('順序', 1), ('員工', 1), ('客人', 1), ('泡泡', 1), ('國際', 1), ('準確度', 1), ('今彩', 1), ('539', 1), ('結果', 1), ('頭獎', 1), ('貳獎', 1), ('新台幣', 1), ('獎號', 1), ('派彩', 1), ('內容', 1), ('台彩', 1), ('公司', 1)]"
國際,"[('俄羅斯', 12), ('伊朗', 11), ('俄國', 9), ('協議', 9), ('歐盟', 6), ('美國', 6), ('制裁', 6), ('外長', 6), ('烏克蘭', 5), ('莫斯科', 5), ('澳洲', 4), ('阿布拉莫維奇', 4), ('消息', 4), ('人士', 4), ('決定', 4), ('核子', 4), ('寡頭', 3), ('外交部長', 3), ('行動', 3), ('代表', 3), ('要求', 3), ('發言人', 3), ('哈蒂柏札德', 3), ('2015年', 3), ('名單', 2), ('切爾西', 2), ('老闆', 2), ('資產', 2), ('潘恩', 2), ('歐洲', 2), ('聯盟', 2), ('政治', 2), ('蒲亭', 2), ('拉夫羅夫', 2), ('外交', 2), ('路透社', 2), ('富豪', 2), ('措施', 2), ('經濟', 2), ('全球', 2), ('談判', 2), ('阿布杜拉希安', 2), ('卡達', 2), ('外交部', 2), ('維也納', 2), ('德黑蘭', 2), ('中央社', 1), ('雪梨', 1), ('布魯塞爾', 1), ('外電', 1), ('商人', 1), ('超足球隊', 1), ('英國', 1), ('加拿大', 1), ('紐西蘭', 1), ('對象', 1), ('天然氣', 1), ('工業', 1), ('公司', 1), ('執行長', 1), ('米勒', 1), ('克里姆林宮', 1), ('家人', 1), ('人物', 1), ('總統', 1), ('國會', 1), ('議員', 1), ('高層', 1), ('外交官', 1), ('公報', 1), ('會議', 1), ('系列', 1), ('國家', 1), ('產業', 1), ('奢侈品', 1), ('鋼品', 1), ('製品', 1), ('事宜', 1), ('法新社', 1), ('必要', 1), ('參與', 1), ('穆罕穆德', 1), ('電視', 1), ('記者會', 1), ('奧地利', 1), ('細節', 1), ('方案', 1), ('規範', 1), ('2018年', 1), ('保證', 1), ('西方', 1), ('貿易', 1), ('政策', 1), ('波瑞爾', 1), ('推特', 1), ('最終版', 1), ('條文', 1), ('基本', 1), ('因素', 1), ('國務院', 1), ('普萊斯', 1), ('信心', 1), ('立場', 1), ('僵局', 1), ('問題', 1), ('爭執點', 1), ('華府', 1)]"
社會,"[('被告', 8), ('槍械', 4), ('子彈', 4), ('台南', 4), ('證人', 4), ('專案', 3), ('小組', 3), ('周男', 3), ('法院', 3), ('高分院', 3), ('苗栗縣', 2), ('派出所', 2), ('警方', 2), ('情資', 2), ('手槍', 2), ('空氣槍', 2), ('火藥', 2), ('小型', 2), ('兵工廠', 2), ('新聞稿', 2), ('苗栗', 2), ('住處', 2), ('成品', 2), ('條例', 2), ('戴寧', 2), ('嘉義', 2), ('地院', 2), ('嫌疑', 2), ('刑事', 2), ('證詞', 2), ('通霄鎮', 1), ('周姓', 1), ('男子', 1), ('住家', 1), ('附近', 1), ('木工', 1), ('警察局', 1), ('通霄', 1), ('分局', 1), ('事證', 1), ('地方', 1), ('搜索票', 1), ('周嫌', 1), ('地下室', 1), ('木工廠', 1), ('成員', 1), ('金牛座', 1), ('霰彈', 1), ('彈頭', 1), ('彈殼', 1), ('車床', 1), ('鑽床', 1), ('機械', 1), ('工具', 1), ('警詢', 1), ('槍砲', 1), ('彈藥', 1), ('刀械', 1), ('地檢署', 1), ('零組件', 1), ('來源', 1), ('黨籍', 1), ('嘉義市', 1), ('議員', 1), ('助理費', 1), ('嘉檢', 1), ('羈押庭', 1), ('律師', 1), ('台灣', 1), ('分院', 1), ('職務', 1), ('機會', 1), ('財物', 1), ('刑法', 1), ('公務員', 1), ('案件', 1), ('本刑', 1), ('有期徒刑', 1), ('重罪', 1), ('訴訟法', 1), ('原因', 1), ('必要', 1), ('可能', 1), ('刑責', 1), ('案情', 1), ('情況', 1), ('親友', 1), ('情誼', 1), ('人情', 1), ('壓力', 1), ('證述', 1), ('目的', 1), ('手段', 1), ('情形', 1), ('訴訟', 1), ('事由', 1), ('理由', 1)]"
文化,"[('獎項', 15), ('藝術', 12), ('平珩', 10), ('國際', 10), ('音樂', 10), ('戲曲', 8), ('舞團', 6), ('偶戲', 6), ('時間', 5), ('作品', 5), ('金曲獎', 5), ('舞蹈', 4), ('出版類', 4), ('表演', 4), ('評審團獎', 4), ('主演', 4), ('宗教', 4), ('類型', 4), ('空間', 3), ('工作', 3), ('經驗', 3), ('媒體', 3), ('台灣', 3), ('領域', 3), ('中心', 3), ('陳悅宜', 3), ('藝術家', 2), ('期間', 2), ('世界', 2), ('過程', 2), ('身體', 2), ('角度', 2), ('紐約', 2), ('導演', 2), ('李安', 2), ('譚盾', 2), ('點子', 2), ('全面性', 2), ('觀眾', 2), ('項目', 2), ('專輯', 2), ('總獎金', 2), ('演員', 2), ('民間', 2), ('學者', 2), ('專家', 2), ('表演類', 2), ('年度', 2), ('業界', 2), ('創辦人', 1), ('生涯', 1), ('新書', 1), ('味道', 1), ('要點', 1), ('看法', 1), ('外國', 1), ('冠狀病毒', 1), ('疾病', 1), ('疫情', 1), ('事件', 1), ('舞作', 1), ('時境', 1), ('扁豆', 1), ('軌跡', 1), ('巨獸', 1), ('紙箱', 1), ('社會', 1), ('政治', 1), ('人性', 1), ('碳纖', 1), ('方框', 1), ('弱勢', 1), ('氣球', 1), ('聲光', 1), ('投影', 1), ('液態', 1), ('養分', 1), ('西班牙', 1), ('編舞家', 1), ('瑪芮娜', 1), ('麥斯卡利', 1), ('影像', 1), ('心智', 1), ('日本', 1), ('影像版', 1), ('月球', 1), ('舞者', 1), ('鏡頭', 1), ('敏銳度', 1), ('大學', 1), ('學院', 1), ('好友', 1), ('羅曼菲', 1), ('教育', 1), ('作曲家', 1), ('夢想家', 1), ('大師', 1), ('期限', 1), ('歐洲', 1), ('亞洲', 1), ('思維', 1), ('彈性', 1), ('類別', 1), ('新聞稿', 1), ('時代', 1), ('潮流', 1), ('辦法', 1), ('人氣', 1), ('活動', 1), ('視野', 1), ('參與感', 1), ('歷史', 1), ('新高', 1), ('新台幣', 1), ('主任', 1), ('計畫', 1), ('劇團', 1), ('從業者', 1), ('各界', 1), ('聲音', 1), ('主演獎', 1), ('形式', 1), ('專業度', 1), ('差異', 1), ('分類', 1), ('變革', 1), ('意義', 1), ('整體性', 1), ('選擇', 1), ('代表', 1), ('評審團', 1), ('人士', 1), ('參與度', 1), ('想像', 1), ('面貌', 1), ('團隊', 1), ('主題', 1), ('疑慮', 1), ('音樂類', 1), ('組數', 1), ('趨勢', 1), ('人數', 1), ('限制', 1), ('表現', 1), ('系統', 1), ('資訊', 1)]"
兩岸,"[('疫情', 14), ('東莞', 10), ('公司', 4), ('人員', 4), ('東莞市', 4), ('中國', 4), ('廣東', 3), ('核酸', 3), ('雷正龍', 3), ('居民', 2), ('交通', 2), ('原物料', 2), ('香港', 2), ('工作', 2), ('餐廳', 2), ('公車', 2), ('地鐵', 2), ('聚集性', 2), ('活動', 2), ('本土', 2), ('上述', 2), ('變種', 2), ('病毒', 2), ('模式', 1), ('台籍', 1), ('鬆緊', 1), ('封城', 1), ('網友', 1), ('港資', 1), ('聯宇', 1), ('科技', 1), ('有限', 1), ('副總經理', 1), ('林柏偉', 1), ('台灣', 1), ('中央社', 1), ('記者', 1), ('工廠', 1), ('全球', 1), ('林伯偉', 1), ('電子', 1), ('當局', 1), ('深圳', 1), ('衝擊', 1), ('台商', 1), ('子女', 1), ('學校', 1), ('線上', 1), ('師生', 1), ('全民', 1), ('園區', 1), ('社區', 1), ('門口', 1), ('生活', 1), ('行業', 1), ('居家', 1), ('社群', 1), ('平台', 1), ('微博', 1), ('當地', 1), ('官方', 1), ('通知', 1), ('標題', 1), ('公車站', 1), ('老人', 1), ('小孩', 1), ('管理', 1), ('原因', 1), ('動作', 1), ('南方日報', 1), ('大朗鎮', 1), ('漏洞', 1), ('黨員', 1), ('幹部', 1), ('問題', 1), ('公安廳', 1), ('副廳長', 1), ('黃守應', 1), ('副市長', 1), ('王長青', 1), ('指揮辦', 1), ('城市', 1), ('物資', 1), ('貨運', 1), ('需要', 1), ('小時', 1), ('陰性', 1), ('證明', 1), ('實體', 1), ('高校', 1), ('大學', 1), ('院校', 1), ('景區', 1), ('景點', 1), ('體育', 1), ('場館', 1), ('國家', 1), ('衛健委', 1), ('疾控局', 1), ('副局長', 1), ('省區', 1), ('頻率', 1), ('特徵', 1), ('吉林', 1), ('上海', 1), ('省級', 1), ('行政區', 1), ('澳門', 1), ('央視', 1), ('新聞', 1), ('病例', 1), ('數字', 1), ('報告', 1), ('情況', 1), ('地區', 1), ('速度', 1), ('內蒙古', 1), ('自治區', 1), ('階段', 1), ('專家', 1), ('動態', 1), ('清零', 1), ('總方針', 1), ('總體', 1), ('隱匿性', 1), ('特點', 1), ('過程', 1), ('措施', 1)]"
全部,"[('疫情', 25), ('國際', 19), ('部落', 18), ('外交部', 16), ('獎項', 15), ('中心', 14), ('印度', 13), ('陳將双', 13), ('納豆', 13), ('台灣', 12), ('女孩', 12), ('俄羅斯', 12), ('藝術', 12), ('烏克蘭', 11), ('戰機', 11), ('音樂', 11), ('伊朗', 11), ('時間', 10), ('美國', 10), ('市場', 10), ('平珩', 10), ('東莞', 10), ('人員', 9), ('人士', 9), ('台股', 9), ('總經理', 9), ('俄國', 9), ('協議', 9), ('物資', 8), ('作品', 8), ('工作', 8), ('國票金', 8), ('林暉閔', 8), ('被告', 8), ('戲曲', 8), ('民眾', 7), ('高度', 7), ('飛官', 7), ('全球', 7), ('媒體', 7), ('法人', 7), ('歷史', 7), ('陳時中', 7), ('活動', 6), ('空軍', 6), ('中央社', 6), ('科技', 6), ('備忘錄', 6), ('樂天', 6), ('舞蹈', 6), ('籃球', 6), ('國小', 6), ('股利', 6), ('空間', 6), ('戰爭', 6), ('新高', 6), ('資訊', 6), ('黃新皓', 6), ('公司', 6), ('歐盟', 6), ('制裁', 6), ('外長', 6), ('舞團', 6), ('偶戲', 6), ('志工', 5), ('新聞稿', 5), ('幻象', 5), ('記者會', 5), ('系統', 5), ('學院', 5), ('國家', 5), ('會議', 5), ('新台幣', 5), ('高中', 5), ('冠軍戰', 5), ('決定', 5), ('陽明', 5), ('現金', 5), ('聯強', 5), ('杜書全', 5), ('演員', 5), ('消息', 5), ('莫斯科', 5), ('金曲獎', 5), ('外交部長', 4), ('吳釗燮', 4), ('現場', 4), ('民間', 4), ('物品', 4), ('情況', 4), ('記者', 4), ('姿態', 4), ('身體', 4), ('過程', 4), ('專家', 4), ('座椅', 4), ('產品', 4), ('限制', 4), ('內容', 4), ('領域', 4), ('技術', 4), ('海洋', 4), ('理工', 4), ('疾病', 4), ('隊長', 4), ('官方', 4), ('粉絲', 4), ('練習生', 4), ('冠軍', 4), ('病毒', 4), ('因素', 4), ('期間', 4), ('影響', 4), ('董事會', 4), ('盈餘', 4), ('俄烏', 4), ('經驗', 4), ('聯準會', 4), ('經濟', 4), ('政治', 4), ('供應鏈', 4), ('需求', 4), ('蘇松輝', 4), ('導演', 4), ('澳洲', 4), ('阿布拉莫維奇', 4), ('代表', 4), ('核子', 4), ('槍械', 4), ('子彈', 4), ('台南', 4), ('證人', 4), ('出版類', 4), ('表演', 4), ('評審團獎', 4), ('主演', 4), ('宗教', 4), ('類型', 4), ('東莞市', 4), ('中國', 4), ('照片', 3), ('飛行員', 3), ('動作', 3), ('醫院', 3), ('英國', 3), ('速度', 3), ('角度', 3), ('宏達電', 3), ('沉浸式', 3), ('成員', 3), ('觀眾', 3), ('校區', 3), ('智能', 3), ('網路', 3), ('物理', 3), ('科技部', 3), ('機構', 3), ('重點', 3), ('科學', 3), ('科技組', 3), ('大學', 3), ('籃籃', 3), ('球場', 3), ('俱樂部', 3), ('球迷', 3), ('好友', 3), ('社群', 3), ('嘉義', 3), ('結果', 3), ('榮耀', 3), ('居民', 3), ('生活', 3), ('高中生', 3), ('稱號', 3), ('海運', 3), ('殖利率', 3), ('投信', 3), ('股市', 3), ('機會', 3), ('基本面', 3), ('金融', 3), ('企業', 3), ('供應商', 3), ('低點', 3), ('年度', 3), ('問題', 3), ('業界', 3), ('票券', 3), ('基因', 3), ('郭宇宸', 3), ('原因', 3), ('畫面', 3), ('白色', 3), ('平台', 3), ('經紀人', 3), ('檢疫期', 3), ('旅館', 3), ('號碼', 3), ('獎金', 3), ('寡頭', 3)]"
